,4KiB,64KiB,2MiB,32MiB
4KiB,264628,0,0,0
THP,1519,0,515,0
mTHP,42,0,519,0
Hawkeye,1519,0,515,0
ET,63,90,19,31
ET-Offline,264496,8,0,0
