,4KiB,64KiB,2MiB,32MiB
4KiB,530345,0,0,0
THP,993,0,1035,0
mTHP,44,0,1038,0
Hawkeye,993,0,1035,0
ET,49,59,715,20
ET-Offline,3001,32959,0,0
