,4KiB,64KiB,2MiB,32MiB
4KiB,77585,0,0,0
THP,2354,0,150,0
mTHP,47,0,155,0
Hawkeye,2354,0,150,0
ET,66,143,54,6
ET-Offline,77585,0,0,0
