,4KiB,64KiB,2MiB,32MiB
4KiB,40815,0,0,0
THP,1258,0,78,0
mTHP,66,0,82,0
Hawkeye,1258,0,78,0
ET,367,2528,0,0
ET-Offline,2333,25,75,0
