,4KiB,64KiB,2MiB,32MiB
4KiB,1063924,0,0,0
THP,990,0,2078,0
mTHP,41,0,2081,0
Hawkeye,990,0,2078,0
ET,46,58,30,128
ET-Offline,1007539,3524,0,0
