,4KiB,64KiB,2MiB,32MiB
4KiB,85752,0,0,0
THP,1375,0,166,0
mTHP,45,0,169,0
Hawkeye,1375,0,166,0
ET,184,5348,0,0
ET-Offline,1999,25,164,0
