,4KiB,64KiB,2MiB,32MiB
4KiB,570883,0,0,0
THP,996,0,1116,0
mTHP,47,0,1119,0
Hawkeye,996,0,1116,0
ET,52,59,12,69
ET-Offline,570882,0,0,0
