,4KiB,64KiB,2MiB,32MiB
4KiB,208119,0,0,0
THP,1025,0,406,0
mTHP,55,0,409,0
Hawkeye,1025,0,406,0
ET,81,91,53,22
ET-Offline,202743,336,0,0
