,4KiB,64KiB,2MiB,32MiB
Astar,698376055532,675225208119,666974879619,671851789200
Omnetpp,1334021305195,1383571758663,1348031116241,1366674148241
Streamcluster,3082204625087,3081724167509,3057831591540,3051135371457
Canneal,487184365934,468821249384,407333795923,408549634948
SVM,392536811547,403743642961,314337665256,286920185170
Hashjoin,33395597479,32707108949,25902236144,24746293728
